Region,Time,Vehicle size,Value
CZE,2032,passenger car,0.5831392
CZE,2032,light truck,0.03685803544258002
CZE,2032,minivan_SUV,0.30039488
CZE,2033,microcar,0.07969530581747285
CZE,2033,passenger car,0.5846688
CZE,2033,light truck,0.03309957418252721
CZE,2033,minivan_SUV,0.30253632
CZE,2034,microcar,0.079772851035595
CZE,2034,passenger car,0.5860255999999999
CZE,2034,light truck,0.02976570896440506
CZE,2034,minivan_SUV,0.30443584
CZE,2035,microcar,0.07983997154279036
CZE,2035,passenger car,0.5871999999999999
CZE,2035,light truck,0.0268800284572097
CZE,2035,minivan_SUV,0.30608
CZE,2036,microcar,0.07989611867006277
