"code","region","time","sector","polymer","element","value","","nb of product","","reusable share","","SU + RU"
"2042single-use non-beverage bottles","EU27+3",2042,"single-use non-beverage bottles","PET","All",260.0994485940165,"",6193910091.611685,"",0.3,"",8848442988.016693
"2043single-use non-beverage bottles","EU27+3",2043,"single-use non-beverage bottles","PET","All",253.3182843985297,"",6032426007.080381,"",0.325,"",8936927417.89686
"2044single-use non-beverage bottles","EU27+3",2044,"single-use non-beverage bottles","PET","All",246.37548697427368,"",5867092849.849289,"",0.35,"",9026296692.075829
"2045single-use non-beverage bottles","EU27+3",2045,"single-use non-beverage bottles","PET","All",239.26850177309274,"",5697849786.872868,"",0.375,"",9116559658.996588
"2046single-use non-beverage bottles","EU27+3",2046,"single-use non-beverage bottles","PET","All",231.99473931919067,"",5524635153.351932,"",0.4,"",9207725255.586554
"2047single-use non-beverage bottles","EU27+3",2047,"single-use non-beverage bottles","PET","All",224.55157476603335,"",5347386442.181891,"",0.42500000000000004,"",9299802508.14242
"2048single-use non-beverage bottles","EU27+3",2048,"single-use non-beverage bottles","PET","All",216.93634744788096,"",5166040293.273115,"",0.45,"",9392800533.223845
"2049single-use non-beverage bottles","EU27+3",2049,"single-use non-beverage bottles","PET","All",209.14636042588887,"",4980532482.741944,"",0.475,"",9486728538.556084
"2050single-use non-beverage bottles","EU27+3",2050,"single-use non-beverage bottles","PET","All",201.17888002871214,"",4790797911.970822,"",0.5,"",9581595823.941645
"2018reusable non-beverage bottles","EU27+3",2018,"reusable non-beverage bottles","PET","All",0,"",0,"","","",""
"2019reusable non-beverage bottles","EU27+3",2019,"reusable non-beverage bottles","PET","All",2.2175352298080284,"",21628134.438785702,"","","",""
"2020reusable non-beverage bottles","EU27+3",2020,"reusable non-beverage bottles","PET","All",4.235074715401456,"",41305664.0867592,"","","",""
"2021reusable non-beverage bottles","EU27+3",2021,"reusable non-beverage bottles","PET","All",6.593529763222983,"",64308222.13249206,"","","",""
"2022reusable non-beverage bottles","EU27+3",2022,"reusable non-beverage bottles","PET","All",8.922202895649018,"",87020310.26308677,"","","",""
"2023reusable non-beverage bottles","EU27+3",2023,"reusable non-beverage bottles","PET","All",17.271897772160568,"",168456817.28429222,"","","",""
"2024reusable non-beverage bottles","EU27+3",2024,"reusable non-beverage bottles","PET","All",25.787694325912742,"",251513352.41489506,"","","",""
"2025reusable non-beverage bottles","EU27+3",2025,"reusable non-beverage bottles","PET","All",34.47207962096283,"",336214172.5663824,"","","",""
"2026reusable non-beverage bottles","EU27+3",2026,"reusable non-beverage bottles","PET","All",43.32757385248132,"",422583857.7856579,"","","",""
"2027reusable non-beverage bottles","EU27+3",2027,"reusable non-beverage bottles","PET","All",52.356730760667936,"",510647315.29206085,"","","",""
"2028reusable non-beverage bottles","EU27+3",2028,"reusable non-beverage bottles","PET","All",61.56213804963309,"",600429783.5628138,"","","",""
"2029reusable non-beverage bottles","EU27+3",2029,"reusable non-beverage bottles","PET","All",70.94641781130163,"",691956836.467454,"","","",""
"2030reusable non-beverage bottles","EU27+3",2030,"reusable non-beverage bottles","PET","All",80.51222695439839,"",785254387.451829,"","","",""
"2031reusable non-beverage bottles","EU27+3",2031,"reusable non-beverage bottles","PET","All",93.5149516075338,"",912072971.0253,"","","",""
"2032reusable non-beverage bottles","EU27+3",2032,"reusable non-beverage bottles","PET","All",106.76967953103637,"",1041349400.8314943,"","","",""
"2033reusable non-beverage bottles","EU27+3",2033,"reusable non-beverage bottles","PET","All",120.28015051784838,"",1173120151.9367113,"","","",""
"2034reusable non-beverage bottles","EU27+3",2034,"reusable non-beverage bottles","PET","All",134.05015395644338,"",1307422183.123948,"","","",""
"2035reusable non-beverage bottles","EU27+3",2035,"reusable non-beverage bottles","PET","All",148.0835294487586,"",1444292942.9197369,"","","",""
"2036reusable non-beverage bottles","EU27+3",2036,"reusable non-beverage bottles","PET","All",162.38416743552435,"",1583770375.6931276,"","","",""
"2037reusable non-beverage bottles","EU27+3",2037,"reusable non-beverage bottles","PET","All",176.95600982908067,"",1725892927.8276958,"","","",""
"2038reusable non-beverage bottles","EU27+3",2038,"reusable non-beverage bottles","PET","All",191.8030506537645,"",1870699553.9673853,"","","",""
"2039reusable non-beverage bottles","EU27+3",2039,"reusable non-beverage bottles","PET","All",206.92933669395907,"",2018229723.3370857,"","","",""
"2040reusable non-beverage bottles","EU27+3",2040,"reusable non-beverage bottles","PET","All",222.33896814989228,"",2168523426.1387844,"","","",""
"2041reusable non-beverage bottles","EU27+3",2041,"reusable non-beverage bottles","PET","All",247.01859361453032,"",2409229526.4401894,"","","",""
"2042reusable non-beverage bottles","EU27+3",2042,"reusable non-beverage bottles","PET","All",272.1695776916461,"",2654532896.4050083,"","","",""
"2043reusable non-beverage bottles","EU27+3",2043,"reusable non-beverage bottles","PET","All",297.79887959094265,"",2904501410.8164787,"","","",""
"2044reusable non-beverage bottles","EU27+3",2044,"reusable non-beverage bottles","PET","All",323.91355057045615,"",3159203842.2265396,"","","",""
"2045reusable non-beverage bottles","EU27+3",2045,"reusable non-beverage bottles","PET","All",350.5207350816008,"",3418709872.12372,"","","",""
"2046reusable non-beverage bottles","EU27+3",2046,"reusable non-beverage bottles","PET","All",377.62767192791136,"",3683090102.234622,"","","",""
"2047reusable non-beverage bottles","EU27+3",2047,"reusable non-beverage bottles","PET","All",405.2416954376398,"",3952416065.9605284,"","","",""
